timestamp_ms,pixel_height,estimated_distance_cm,confidence
1752076307698,310,29.8065,0.867495
1752076307723,311,29.7106,0.873494
1752076307748,312,29.6154,0.869887
1752076307773,308,30,0.887088
1752076307800,290,31.8621,0.900868
1752076307842,290,31.8621,0.907994
1752076307905,290,31.8621,0.90802
1752076307964,293,31.5358,0.906128
1752076308025,291,31.7526,0.89947
1752076308083,291,31.7526,0.895978
1752076308145,292,31.6438,0.909953
1752076308204,290,31.8621,0.904051
1752076308264,291,31.7526,0.912173
1752076308324,286,32.3077,0.907479
1752076308385,292,31.6438,0.906573
1752076308445,288,32.0833,0.899601
1752076308505,289,31.9723,0.909182
1752076308564,291,31.7526,0.902983
1752076308625,289,31.9723,0.910637
1752076308684,292,31.6438,0.911891
1752076308745,295,31.322,0.906248
1752076308805,292,31.6438,0.908654
1752076308865,291,31.7526,0.909812
1752076308930,293,31.5358,0.910282
1752076308989,293,31.5358,0.890657
1752076309049,294,31.4286,0.906217
1752076309109,293,31.5358,0.902555
1752076309169,297,31.1111,0.864233
1752076309229,290,31.8621,0.874247
1752076309289,299,30.903,0.861995
1752076309349,296,31.2162,0.882328
1752076309409,294,31.4286,0.900671
1752076309468,292,31.6438,0.907039
1752076309529,291,31.7526,0.903607
1752076309589,292,31.6438,0.910004
1752076309649,291,31.7526,0.907198
1752076309708,294,31.4286,0.909391
1752076309769,292,31.6438,0.910733
1752076309829,292,31.6438,0.90397
1752076309893,292,31.6438,0.906146
1752076309947,294,31.4286,0.913248
1752076310009,290,31.8621,0.911627
1752076310071,293,31.5358,0.903277
1752076310128,295,31.322,0.90948
1752076310189,295,31.322,0.907923
1752076310248,292,31.6438,0.908548
1752076310309,294,31.4286,0.911086
1752076310369,294,31.4286,0.90996
1752076310429,293,31.5358,0.902969
1752076310489,294,31.4286,0.903191
1752076310554,294,31.4286,0.911426
1752076310612,297,31.1111,0.912787
1752076310673,294,31.4286,0.909128
1752076310733,295,31.322,0.913144
1752076310793,294,31.4286,0.917942
1752076310853,293,31.5358,0.915485
1752076310913,292,31.6438,0.90954
1752076310973,291,31.7526,0.890761
1752076311033,292,31.6438,0.909757
1752076311093,293,31.5358,0.907625
1752076311153,293,31.5358,0.908922
1752076311213,292,31.6438,0.901473
1752076311273,293,31.5358,0.914436
1752076311333,294,31.4286,0.902092
1752076311393,295,31.322,0.876734
1752076311452,294,31.4286,0.912707
1752076311513,296,31.2162,0.903414
1752076311573,293,31.5358,0.889817
1752076311632,290,31.8621,0.879749
1752076311693,291,31.7526,0.909255
1752076311753,288,32.0833,0.91419
1752076311812,287,32.1951,0.912711
1752076311873,287,32.1951,0.914045
1752076311932,287,32.1951,0.918148
1752076311993,288,32.0833,0.908038
